nume,judet,abreviere,populatie,lat,lng,,
Racoti,Gorj,GJ,284,44.991152,22.9334399,Racoti,Racoti
Sohodol,Gorj,GJ,935,45.0570554,22.877275,Sohodol,Sohodol
Topesti,Gorj,GJ,316,45.0812039,22.972385,Topesti,Topesti
Valcele,Gorj,GJ,293,45.0850907,22.9859643,Valcele,Valcele
Vanata,Gorj,GJ,291,45.0466482,22.9729837,Vanata,Vanata
Turburea,Gorj,GJ,1244,44.7091808,23.5166798,Turburea,Turburea
Cocorova,Gorj,GJ,489,44.6598664,23.5634761,Cocorova,Cocorova
Poiana,Gorj,GJ,1368,44.6564435,23.5343238,Poiana,Poiana
Spahii,Gorj,GJ,358,44.6817781,23.5302232,Spahii,Spahii
Sipotu,Gorj,GJ,617,44.6930802,23.5260416,Sipotu,Sipotu
Turceni,Gorj,GJ,4055,44.674076,23.374199,Turceni,Turceni
Garbovu,Gorj,GJ,371,44.731239,23.3443282,Garbovu,Garbovu
Jiltu,Gorj,GJ,258,44.6881292,23.379824,Jiltu,Jiltu
Murgesti,Gorj,GJ,719,44.7110498,23.3614028,Murgesti,Murgesti
Strambajiu,Gorj,GJ,1428,44.761708,23.3193029,Strambajiu,StrambaJiu
Valeaviei,Gorj,GJ,438,44.739101,23.3333903,Valeaviei,ValeaViei
Turcinesti,Gorj,GJ,1113,45.1172336,23.3052033,Turcinesti,Turcinesti
Cartiu,Gorj,GJ,469,45.1259029,23.3136153,Cartiu,Cartiu
Horezu,Gorj,GJ,182,45.1476617,23.2956333,Horezu,Horezu
Rugi,Gorj,GJ,462,45.1358795,23.2901965,Rugi,Rugi
Tantareni,Gorj,GJ,2201,44.59486,23.4919296,Tantareni,Tantareni
Arpadia,Gorj,GJ,79,44.6386474,23.5739381,Arpadia,Arpadia
Chiciora,Gorj,GJ,265,44.6208606,23.5742983,Chiciora,Chiciora
Floresti,Gorj,GJ,2744,44.6188087,23.5276909,Floresti,Floresti
Urdari,Gorj,GJ,1556,44.8066046,23.2898497,Urdari,Urdari
Fantanele,Gorj,GJ,896,44.7822602,23.3034213,Fantanele,Fantanele
Hotaroasa,Gorj,GJ,572,44.8206663,23.2814118,Hotaroasa,Hotaroasa
Vagiulesti,Gorj,GJ,811,44.7334539,23.1033121,Vagiulesti,Vagiulesti
Carciu,Gorj,GJ,319,44.7189457,23.0825844,Carciu,Carciu
Covrigi,Gorj,GJ,934,44.7377843,23.1488209,Covrigi,Covrigi
Murgilesti,Gorj,GJ,351,44.7468746,23.1119789,Murgilesti,Murgilesti
Valeamotrului,Gorj,GJ,227,44.6971763,23.1159809,Valeamotrului,ValeaMotrului
Vladimir,Gorj,GJ,699,44.8114228,23.5589146,Vladimir,Vladimir
Andreesti,Gorj,GJ,972,44.7825813,23.5394011,Andreesti,Andreesti
Frasin,Gorj,GJ,708,44.8182946,23.5330028,Frasin,Frasin
Valeadesului,Gorj,GJ,414,44.8640024,23.5737923,Valeadesului,ValeaDesului
Dudasuschelei,Mehedinti,MH,569,44.6427419,22.5938767,Dudasuschelei,DudasuSchelei
Guravaii,Mehedinti,MH,1783,44.6672821,22.5518752,Guravaii,GuraVaii
Schelacladovei,Mehedinti,MH,5389,44.629597,22.6132184,Schelacladovei,SchelaCladovei
Baiadearama,Mehedinti,MH,2204,44.9971528,22.8119052,Baiadearama,BaiadeArama
Bratilovu,Mehedinti,MH,147,45.0234958,22.7829021,Bratilovu,Bratilovu
Brebina,Mehedinti,MH,338,45.013079,22.8178634,Brebina,Brebina
Dealumare,Mehedinti,MH,66,44.9831843,22.8127058,Dealumare,DealuMare
Marasesti,Mehedinti,MH,913,45.0209579,22.7686827,Marasesti,Marasesti
Negoesti,Mehedinti,MH,813,44.9810068,22.8652766,Negoesti,Negoesti
Pistrita,Mehedinti,MH,145,44.9673599,22.8398233,Pistrita,Pistrita
Stanesti,Mehedinti,MH,416,45.0197928,22.7537615,Stanesti,Stanesti
Titerlesti,Mehedinti,MH,307,45.0233266,22.8041544,Titerlesti,Titerlesti
Orsova,Mehedinti,MH,10441,44.7284621,22.3943257,Orsova,Orsova
Strehaia,Mehedinti,MH,6783,44.6242425,23.1918416,Strehaia,Strehaia
Ciochiuta,Mehedinti,MH,983,44.6040895,23.1208488,Ciochiuta,Ciochiuta
Comanda,Mehedinti,MH,1260,44.6460015,23.1585279,Comanda,Comanda
Hurducesti,Mehedinti,MH,273,44.6017877,23.1401814,Hurducesti,Hurducesti
Luncabanului,Mehedinti,MH,454,44.6134955,23.2447925,Luncabanului,LuncaBanului
Menti,Mehedinti,MH,67,44.6775424,23.1678867,Menti,Menti
Motruleni,Mehedinti,MH,140,44.6639194,23.1859317,Motruleni,Motruleni
Slatinicumare,Mehedinti,MH,258,44.5983031,23.204848,Slatinicumare,SlatinicuMare
Slatinicumic,Mehedinti,MH,89,44.5903723,23.1878534,Slatinicumic,SlatinicuMic
Stancesti,Mehedinti,MH,199,44.616643,23.2656034,Stancesti,Stancesti
Vanjumare,Mehedinti,MH,2862,44.4257053,22.8680481,Vanjumare,VanjuMare
Bucura,Mehedinti,MH,343,44.3984432,22.8652242,Bucura,Bucura
Nicolaebalcescu,Mehedinti,MH,718,44.3738648,22.8554911,Nicolaebalcescu,NicolaeBalcescu
Orevitamare,Mehedinti,MH,777,44.4559941,22.9083169,Orevitamare,OrevitaMare
Traian,Mehedinti,MH,611,44.4583293,22.8570218,Traian,Traian
Portiledefierii,Mehedinti,MH,,44.3145764,22.561229,Portiledefierii,PortiledeFierII
Bala,Mehedinti,MH,728,44.8822342,22.8368403,Bala,Bala
Baladesus,Mehedinti,MH,602,44.8978485,22.8091705,Baladesus,BaladeSus
Bratesul,Mehedinti,MH,125,44.9134979,22.8279064,Bratesul,Bratesul
Brativoesti,Mehedinti,MH,167,44.924499,22.8469212,Brativoesti,Brativoesti
Campumare,Mehedinti,MH,103,44.8578521,22.8886435,Campumare,CampuMare
Carsu,Mehedinti,MH,149,44.8998651,22.8243183,Carsu,Carsu
Comanesti,Mehedinti,MH,175,44.9358418,22.8657743,Comanesti,Comanesti
Crainici,Mehedinti,MH,374,44.9031554,22.8711824,Crainici,Crainici
Dalma,Mehedinti,MH,288,44.9040012,22.7434219,Dalma,Dalma
Iupca,Mehedinti,MH,145,44.8672816,22.8613443,Iupca,Iupca
Molani,Mehedinti,MH,86,44.9310741,22.8506045,Molani,Molani
Rudina,Mehedinti,MH,526,44.8787965,22.7950057,Rudina,Rudina
Runcusoru,Mehedinti,MH,162,44.5515053,22.9044157,Runcusoru,Runcusoru
Sardanesti,Mehedinti,MH,159,44.8888111,22.8869354,Sardanesti,Sardanesti
Vidimiresti,Mehedinti,MH,174,44.8590818,22.8247639,Vidimiresti,Vidimiresti
Balta,Mehedinti,MH,323,44.8934881,22.6342203,Balta,Balta
Coadacornetului,Mehedinti,MH,33,44.9027321,22.6632037,Coadacornetului,CoadaCornetului
Costesti,Mehedinti,MH,185,44.9253163,22.5812373,Costesti,Costesti
Gornovita,Mehedinti,MH,197,44.9326999,22.6280735,Gornovita,Gornovita
Nevatu,Mehedinti,MH,,44.5515053,22.9044157,Nevatu,Nevatu
Prejna,Mehedinti,MH,287,44.9358084,22.5955141,Prejna,Prejna
Sfodea,Mehedinti,MH,95,44.8570011,22.6010465,Sfodea,Sfodea
Balacita,Mehedinti,MH,1242,44.3730102,23.1505196,Balacita,Balacita
Dobra,Mehedinti,MH,476,44.3903772,23.0861748,Dobra,Dobra
Gvardinita,Mehedinti,MH,1112,44.3906844,23.1472124,Gvardinita,Gvardinita
Bacles,Mehedinti,MH,442,44.4873006,23.120957,Bacles,Bacles
Corzu,Mehedinti,MH,444,44.453422,23.1658435,Corzu,Corzu
Giura,Mehedinti,MH,65,44.506617,23.095901,Giura,Giura
Petra,Mehedinti,MH,212,44.4605346,23.0870445,Petra,Petra
Podugrosului,Mehedinti,MH,219,44.4859967,23.0672509,Podugrosului,PoduGrosului
Selistiuta,Mehedinti,MH,179,44.4912989,23.1022168,Selistiuta,Selistiuta
Smadovita,Mehedinti,MH,509,44.4774304,23.2011905,Smadovita,Smadovita
Balvanesti,Mehedinti,MH,310,44.7976371,22.6807363,Balvanesti,Balvanesti
Balvanestiidejos,Mehedinti,MH,158,44.796614,22.7177326,Balvanestiidejos,BalvanestiideJos
Calinestiidejos,Mehedinti,MH,43,44.8092899,22.677553,Calinestiidejos,CalinestiideJos
Calinestiidesus,Mehedinti,MH,76,44.8206969,22.6492349,Calinestiidesus,CalinestiideSus
Parlagele,Mehedinti,MH,408,44.5515053,22.9044157,Parlagele,Parlagele
Breznitamotru,Mehedinti,MH,1046,44.5532421,23.2162446,Breznitamotru,BreznitaMotru
Cosovat,Mehedinti,MH,109,44.5431457,23.2576099,Cosovat,Cosovat
Deleni,Mehedinti,MH,11,44.5548935,23.3020325,Deleni,Deleni
Fauroaia,Mehedinti,MH,193,44.5446235,23.2931865,Fauroaia,Fauroaia
Plai,Mehedinti,MH,73,44.543414,23.2365273,Plai,Plai
Talapanu,Mehedinti,MH,31,44.5792713,23.2339523,Talapanu,Talapanu
Valeateiului,Mehedinti,MH,57,44.5598156,23.154285,Valeateiului,ValeaTeiului
Breznitaocol,Mehedinti,MH,1716,44.6720669,22.6137051,Breznitaocol,BreznitaOcol
Jidostita,Mehedinti,MH,880,44.7136294,22.5894882,Jidostita,Jidostita
Magheru,Mehedinti,MH,1055,44.6516825,22.6297895,Magheru,Magheru
Susita(Breznitaocol),Mehedinti,MH,291,44.7274833,22.6019396,Susita(Breznitaocol),Susita(BreznitaOcol)
Brosteni,Mehedinti,MH,796,44.7436262,22.9635493,Brosteni,Brosteni
Capatanesti,Mehedinti,MH,108,44.7496626,22.9955476,Capatanesti,Capatanesti
Luncsoara,Mehedinti,MH,331,44.7266052,23.0408664,Luncsoara,Luncsoara
Lupsadejos,Mehedinti,MH,573,44.7311779,23.0021039,Lupsadejos,LupsadeJos
Lupsadesus,Mehedinti,MH,487,44.7324992,22.941158,Lupsadesus,LupsadeSus
Meris,Mehedinti,MH,570,44.7838447,22.9726107,Meris,Meris
Burilamare,Mehedinti,MH,674,44.4542846,22.5753134,Burilamare,BurilaMare
Crivina,Mehedinti,MH,710,44.506086,22.570879,Crivina,Crivina
Izvorufrumos,Mehedinti,MH,244,44.4540352,22.4948147,Izvorufrumos,IzvoruFrumos
Tiganasi,Mehedinti,MH,384,44.4336435,22.4997974,Tiganasi,Tiganasi
Vrancea,Mehedinti,MH,227,44.5446028,22.595604,Vrancea,Vrancea
Butoiesti,Mehedinti,MH,481,44.5871794,23.3726225,Butoiesti,Butoiesti
Arginesti,Mehedinti,MH,560,44.5746106,23.4138306,Arginesti,Arginesti
Buicesti,Mehedinti,MH,450,44.5639294,23.3646119,Buicesti,Buicesti
Guramotrului,Mehedinti,MH,341,44.5531258,23.4370713,Guramotrului,GuraMotrului
Jugastru,Mehedinti,MH,344,44.5783402,23.3965958,Jugastru,Jugastru
Pluta,Mehedinti,MH,465,44.5734121,23.3291369,Pluta,Pluta
Radutesti,Mehedinti,MH,284,44.5888477,23.3536103,Radutesti,Radutesti
Tantaru,Mehedinti,MH,419,44.5368979,23.3403383,Tantaru,Tantaru
Cazanesti,Mehedinti,MH,150,44.6992662,22.8964033,Cazanesti,Cazanesti
Ercea,Mehedinti,MH,253,44.6775951,22.9844097,Ercea,Ercea
Garbovatudesus,Mehedinti,MH,299,44.7213085,22.8207496,Garbovatudesus,GarbovatudeSus
Govodarva,Mehedinti,MH,47,44.6930687,22.8925548,Govodarva,Govodarva
Ilovu,Mehedinti,MH,132,44.7230498,22.86749,Ilovu,Ilovu
Jignita,Mehedinti,MH,129,44.7157627,22.9020193,Jignita,Jignita
Paltinisu,Mehedinti,MH,131,44.6868188,22.904833,Paltinisu,Paltinisu
Poiana,Mehedinti,MH,186,44.6843801,22.9739718,Poiana,Poiana
Rosia,Mehedinti,MH,114,44.6968541,22.8717273,Rosia,Rosia
Severinesti,Mehedinti,MH,568,44.6886909,22.9521837,Severinesti,Severinesti
Suharu,Mehedinti,MH,130,44.7274374,22.8582495,Suharu,Suharu
Valeacosustei,Mehedinti,MH,164,44.7069213,22.9121174,Valeacosustei,ValeaCosustei
Ciresu,Mehedinti,MH,211,44.8332429,22.5361134,Ciresu,Ciresu
Bunoaica,Mehedinti,MH,158,44.7989384,22.5426347,Bunoaica,Bunoaica
Jupanesti,Mehedinti,MH,64,44.8326916,22.5637619,Jupanesti,Jupanesti
Negrusa,Mehedinti,MH,139,44.8216265,22.512664,Negrusa,Negrusa
Corcova,Mehedinti,MH,1081,44.6974455,23.0373853,Corcova,Corcova
Breta,Mehedinti,MH,43,44.6571504,23.1263257,Breta,Breta
Cernaia,Mehedinti,MH,276,44.6640348,23.1340624,Cernaia,Cernaia
Cordun,Mehedinti,MH,459,44.6861302,23.0361004,Cordun,Cordun
Croica,Mehedinti,MH,181,44.6670631,23.1227371,Croica,Croica
Garbovatudejos,Mehedinti,MH,495,44.7020473,23.0042382,Garbovatudejos,GarbovatudeJos
Imoasa,Mehedinti,MH,378,44.7163,23.0376645,Imoasa,Imoasa
Jirov,Mehedinti,MH,1402,44.6682332,23.082943,Jirov,Jirov
Marurosu,Mehedinti,MH,263,44.9014157,27.652432,Marurosu,MaruRosu
Parvulesti,Mehedinti,MH,93,44.6817081,23.0124297,Parvulesti,Parvulesti
Puscasu,Mehedinti,MH,135,44.6703972,23.1042551,Puscasu,Puscasu
Stejaru,Mehedinti,MH,459,44.6849502,23.0703095,Stejaru,Stejaru
Vladasesti,Mehedinti,MH,166,44.650668,23.1309872,Vladasesti,Vladasesti
Corlatel,Mehedinti,MH,779,44.3975846,22.9323779,Corlatel,Corlatel
Valeaanilor,Mehedinti,MH,587,44.3675524,22.919811,Valeaanilor,ValeaAnilor
Cujmir,Mehedinti,MH,2096,44.2086875,22.9226825,Cujmir,Cujmir
Aurora,Mehedinti,MH,656,44.1918694,22.9394971,Aurora,Aurora
Cujmirumic,Mehedinti,MH,469,44.1897247,22.9239862,Cujmirumic,CujmiruMic
Darvari,Mehedinti,MH,1395,44.1905475,23.0480662,Darvari,Darvari
Gemeni,Mehedinti,MH,1095,44.1731175,23.0789707,Gemeni,Gemeni
Devesel,Mehedinti,MH,1320,44.4688475,22.6623985,Devesel,Devesel
Batoti,Mehedinti,MH,311,44.5147484,22.6806094,Batoti,Batoti
Bistretu,Mehedinti,MH,589,44.4479258,22.6175149,Bistretu,Bistretu
Dunareamica,Mehedinti,MH,72,44.5037963,22.7126863,Dunareamica,DunareaMica
Scapau,Mehedinti,MH,873,44.4612468,22.7219446,Scapau,Scapau
Tismana,Mehedinti,MH,122,44.5234413,22.6622182,Tismana,Tismana
Dubova,Mehedinti,MH,410,44.5984137,22.2109109,Dubova,Dubova
Baianoua,Mehedinti,MH,126,44.5540298,22.1283742,Baianoua,BaiaNoua
Eibenthal,Mehedinti,MH,249,44.544574,22.1569969,Eibenthal,Eibenthal
Dumbrava,Mehedinti,MH,,44.516667,23.116667,Dumbrava,Dumbrava
Albulesti,Mehedinti,MH,574,44.5152981,23.2031414,Albulesti,Albulesti
Bragleasa,Mehedinti,MH,38,44.5190821,23.0659105,Bragleasa,Bragleasa
Dumbravadejos,Mehedinti,MH,172,44.5243467,23.1637171,Dumbravadejos,DumbravadeJos
Dumbravademijloc,Mehedinti,MH,58,44.5173965,23.1365102,Dumbravademijloc,DumbravadeMijloc
Dumbravadesus,Mehedinti,MH,71,44.5166214,23.1173685,Dumbravadesus,DumbravadeSus
Golineasa,Mehedinti,MH,31,44.5256205,23.1435405,Golineasa,Golineasa
Higiu,Mehedinti,MH,233,44.5349961,23.1793098,Higiu,Higiu
Rocsoreni,Mehedinti,MH,115,44.5306861,23.0656404,Rocsoreni,Rocsoreni
Valeamarcului,Mehedinti,MH,197,44.5164006,23.2235213,Valeamarcului,ValeaMarcului
Varodia,Mehedinti,MH,32,44.527995,23.1053676,Varodia,Varodia
Vladica,Mehedinti,MH,53,44.5085553,23.0754005,Vladica,Vladica
Eselnita,Mehedinti,MH,2565,44.7418594,22.2698364,Eselnita,Eselnita
Floresti,Mehedinti,MH,278,44.7668284,22.9433592,Floresti,Floresti
Copacioasa,Mehedinti,MH,381,44.7788701,22.8979559,Copacioasa,Copacioasa
Gardoaia,Mehedinti,MH,745,44.7605177,22.9241219,Gardoaia,Gardoaia
Livezi,Mehedinti,MH,61,44.7789306,22.9063435,Livezi,Livezi
Mosneni,Mehedinti,MH,163,44.7814737,22.9260983,Mosneni,Mosneni
Pesteana,Mehedinti,MH,124,44.8200042,22.8854384,Pesteana,Pesteana
Pestenuta,Mehedinti,MH,71,44.8345501,22.8541469,Pestenuta,Pestenuta
Stroesti,Mehedinti,MH,176,44.8317713,22.8963026,Stroesti,Stroesti
Zegujani,Mehedinti,MH,604,44.8029868,22.9081417,Zegujani,Zegujani
Garlamare,Mehedinti,MH,3382,44.2095198,22.7756323,Garlamare,GarlaMare
Vrata,Mehedinti,MH,1599,44.1864043,22.8454722,Vrata,Vrata
Godeanu,Mehedinti,MH,165,44.8003211,22.606423,Godeanu,Godeanu
Marga,Mehedinti,MH,67,44.8169067,22.5824374,Marga,Marga
Paunesti,Mehedinti,MH,206,44.7875089,22.6298522,Paunesti,Paunesti
Siroca,Mehedinti,MH,204,44.8285324,22.6087111,Siroca,Siroca
Gogosu,Mehedinti,MH,1028,44.3632872,22.5999326,Gogosu,Gogosu
Baltaverde,Mehedinti,MH,1165,44.3455793,22.597944,Baltaverde,BaltaVerde
Burilamica,Mehedinti,MH,833,44.4189225,22.5824082,Burilamica,BurilaMica
Ostrovumare,Mehedinti,MH,773,44.3799994,22.5136257,Ostrovumare,OstrovuMare
Greci,Mehedinti,MH,580,44.5609525,23.1062287,Greci,Greci
Baltanele(Greci),Mehedinti,MH,14,44.5789182,23.1474824,Baltanele(Greci),Baltanele(Greci)
Blidaru,Mehedinti,MH,59,44.5617921,23.0708945,Blidaru,Blidaru
Salatruc,Mehedinti,MH,184,44.5731779,23.0916924,Salatruc,Salatruc
Valeapetrii,Mehedinti,MH,48,44.5841146,23.0917712,Valeapetrii,ValeaPetrii
Visina,Mehedinti,MH,14,44.5791068,23.1152508,Visina,Visina
Grozesti,Mehedinti,MH,453,44.6451857,23.3157399,Grozesti,Grozesti
Carceni,Mehedinti,MH,992,44.6618073,23.2640212,Carceni,Carceni
Pasarani,Mehedinti,MH,254,44.6104693,23.3960223,Pasarani,Pasarani
Susita(Grozesti),Mehedinti,MH,291,44.6216715,23.3540595,Susita(Grozesti),Susita(Grozesti)
Gruia,Mehedinti,MH,1890,44.2651624,22.7057032,Gruia,Gruia
Izvoarele,Mehedinti,MH,951,44.3095357,22.6608137,Izvoarele,Izvoarele
Poianagruii,Mehedinti,MH,189,44.2790345,22.8121917,Poianagruii,PoianaGruii
Hinova,Mehedinti,MH,1071,44.5286667,22.7821703,Hinova,Hinova
Bistrita,Mehedinti,MH,1370,44.5833323,22.7821451,Bistrita,Bistrita
Carjei,Mehedinti,MH,21,44.5371348,22.8140953,Carjei,Carjei
Ostrovucorbului,Mehedinti,MH,387,44.518573,22.7232278,Ostrovucorbului,OstrovuCorbului
Husnicioara,Mehedinti,MH,267,44.6714488,22.8433826,Husnicioara,Husnicioara
Alunisul,Mehedinti,MH,50,44.6352984,22.8401333,Alunisul,Alunisul
Baditesti,Mehedinti,MH,155,44.637035,22.8651099,Baditesti,Baditesti
Borogea,Mehedinti,MH,58,44.6531179,22.9100679,Borogea,Borogea
Celnata,Mehedinti,MH,73,44.6779763,22.8036757,Celnata,Celnata
Dumbravita,Mehedinti,MH,5,44.6682482,22.7876616,Dumbravita,Dumbravita
Marmanu,Mehedinti,MH,24,44.6419944,22.8010724,Marmanu,Marmanu
Opranesti,Mehedinti,MH,114,44.6565583,22.7824478,Opranesti,Opranesti
Peri,Mehedinti,MH,397,44.6595084,22.8942297,Peri,Peri
Priboiesti,Mehedinti,MH,58,44.7106425,22.8163907,Priboiesti,Priboiesti
Selisteni,Mehedinti,MH,192,44.6724613,22.8414674,Selisteni,Selisteni
Ilovat,Mehedinti,MH,592,44.8114587,22.7634446,Ilovat,Ilovat
Budanesti,Mehedinti,MH,137,44.7810648,22.7453412,Budanesti,Budanesti
Craculung,Mehedinti,MH,66,44.8272389,22.6851687,Craculung,CracuLung
Dalbocita,Mehedinti,MH,281,44.8339202,22.7378972,Dalbocita,Dalbocita
Firizu,Mehedinti,MH,40,44.8439353,22.7236324,Firizu,Firizu
Racova,Mehedinti,MH,175,44.7970665,22.7680065,Racova,Racova
Ilovita,Mehedinti,MH,813,44.7603061,22.4701605,Ilovita,Ilovita
Bahna,Mehedinti,MH,418,44.7747153,22.497709,Bahna,Bahna
Moisesti,Mehedinti,MH,85,44.8094876,22.5035239,Moisesti,Moisesti
Isverna,Mehedinti,MH,599,44.9740914,22.6292559,Isverna,Isverna
Busesti,Mehedinti,MH,196,44.9494291,22.7179975,Busesti,Busesti
Cernavarf,Mehedinti,MH,,44.9215143,22.6816724,Cernavarf,CernaVarf
Draghesti,Mehedinti,MH,206,44.9904649,22.6799972,Draghesti,Draghesti
Giurgiani,Mehedinti,MH,57,44.978451,22.637159,Giurgiani,Giurgiani
Nadanova,Mehedinti,MH,183,44.9474138,22.6514541,Nadanova,Nadanova
Selistea,Mehedinti,MH,495,44.972285,22.6555412,Selistea,Selistea
Turtaba,Mehedinti,MH,184,44.98373,22.6975541,Turtaba,Turtaba
Izvorubarzii,Mehedinti,MH,682,44.7103966,22.6751205,Izvorubarzii,IzvoruBarzii
Balotesti,Mehedinti,MH,440,44.7374458,22.6360113,Balotesti,Balotesti
Halanga,Mehedinti,MH,652,44.6783086,22.6888001,Halanga,Halanga
Putinei,Mehedinti,MH,189,44.6804883,22.701668,Putinei,Putinei
Rascolesti,Mehedinti,MH,121,44.6906925,22.6936343,Rascolesti,Rascolesti
Schinteiesti,Mehedinti,MH,455,44.702726,22.6622687,Schinteiesti,Schinteiesti
Schitutopolnitei,Mehedinti,MH,164,44.7554676,22.6197281,Schitutopolnitei,SchituTopolnitei
Jiana,Mehedinti,MH,735,44.401858,22.7106375,Jiana,Jiana
Cioroboreni,Mehedinti,MH,745,44.3887192,22.7618061,Cioroboreni,Cioroboreni
Danceu,Mehedinti,MH,1310,44.365828,22.715192,Danceu,Danceu
Jianamare,Mehedinti,MH,825,44.4118337,22.6860777,Jianamare,JianaMare
Jianaveche,Mehedinti,MH,1080,44.394592,22.6643587,Jianaveche,JianaVeche
Livezile,Mehedinti,MH,934,44.5293974,22.8710202,Livezile,Livezile
Izvoraludejos,Mehedinti,MH,210,44.5365735,22.9175779,Izvoraludejos,IzvoraludeJos
Izvoruanestilor,Mehedinti,MH,216,44.5541976,22.8542157,Izvoruanestilor,IzvoruAnestilor
Petris,Mehedinti,MH,146,44.5373414,22.8607035,Petris,Petris
Stefanodobleja,Mehedinti,MH,172,44.5786126,22.8306145,Stefanodobleja,StefanOdobleja
Malovat,Mehedinti,MH,1025,44.7067796,22.727365,Malovat,Malovat
44796,Mehedinti,MH,325,44.7133,22.7660245,44796,44796
Barda,Mehedinti,MH,331,44.7326429,22.7057012,Barda,Barda
Bobaita,Mehedinti,MH,368,44.7595441,22.7199219,Bobaita,Bobaita
Colibasi,Mehedinti,MH,456,44.7281726,22.7416061,Colibasi,Colibasi
Lazu,Mehedinti,MH,114,44.7257132,22.7736779,Lazu,Lazu
Negresti,Mehedinti,MH,161,44.6819595,22.7687611,Negresti,Negresti
Obarsiadecamp,Mehedinti,MH,797,44.1732,22.9821248,Obarsiadecamp,ObarsiadeCamp
Izimsa,Mehedinti,MH,983,44.1791041,22.9542521,Izimsa,Izimsa
Obarsiaclosani,Mehedinti,MH,788,45.0440657,22.6523929,Obarsiaclosani,ObarsiaClosani
Godeanu(Obarsiaclosani),Mehedinti,MH,165,45.0212434,22.6500485,Godeanu(Obarsiaclosani),Godeanu(ObarsiaClosani)
Oprisor,Mehedinti,MH,1880,44.2843022,23.0784488,Oprisor,Oprisor
Prisaceaua,Mehedinti,MH,435,44.3183462,23.0946252,Prisaceaua,Prisaceaua
Padina,Mehedinti,MH,,44.4321476,23.0094682,Padina,Padina
Biban,Mehedinti,MH,99,44.436613,23.0740257,Biban,Biban
Iablanita,Mehedinti,MH,292,44.4633612,22.9881222,Iablanita,Iablanita
Olteanca,Mehedinti,MH,89,44.4389994,22.9628619,Olteanca,Olteanca
Padinamare,Mehedinti,MH,282,44.4423871,23.0126466,Padinamare,PadinaMare
Padinamica,Mehedinti,MH,211,44.4252171,22.990707,Padinamica,PadinaMica
Slasoma,Mehedinti,MH,496,44.4207869,23.0458163,Slasoma,Slasoma
Patulele,Mehedinti,MH,3102,44.3432711,22.7766762,Patulele,Patulele
Viasu,Mehedinti,MH,534,44.3531332,22.8160571,Viasu,Viasu
Podeni,Mehedinti,MH,564,44.877872,22.5270566,Podeni,Podeni
Gornenti,Mehedinti,MH,174,44.9098126,22.5498764,Gornenti,Gornenti
Malarisca,Mehedinti,MH,116,44.8869441,22.568728,Malarisca,Malarisca
Ponoarele,Mehedinti,MH,333,44.9798836,22.7685848,Ponoarele,Ponoarele
Baluta,Mehedinti,MH,205,44.9563026,22.753903,Baluta,Baluta
Baraiacu,Mehedinti,MH,292,45.0047779,22.7346689,Baraiacu,Baraiacu
Branzeni,Mehedinti,MH,66,44.9375945,22.7832047,Branzeni,Branzeni
Buicani,Mehedinti,MH,84,44.969592,22.7358159,Buicani,Buicani
Ceptureni,Mehedinti,MH,131,44.9908762,22.76295,Ceptureni,Ceptureni
Cracumuntelui,Mehedinti,MH,221,44.5515053,22.9044157,Cracumuntelui,CracuMuntelui
Delureni,Mehedinti,MH,78,44.9463854,22.7632121,Delureni,Delureni
Gardaneasa,Mehedinti,MH,264,44.9648676,22.7875504,Gardaneasa,Gardaneasa
Gheorghesti,Mehedinti,MH,233,44.972186,22.7175773,Gheorghesti,Gheorghesti
Ludu,Mehedinti,MH,89,44.9591349,22.8031649,Ludu,Ludu
Proitesti,Mehedinti,MH,110,44.9764086,22.7266807,Proitesti,Proitesti
Raiculesti,Mehedinti,MH,81,44.9675198,22.7749202,Raiculesti,Raiculesti
Sipotu(Ponoarele),Mehedinti,MH,75,44.9990769,22.7150374,Sipotu(Ponoarele),Sipotu(Ponoarele)
Valeaursului(Ponoarele),Mehedinti,MH,333,44.9874744,22.7294547,Valeaursului(Ponoarele),ValeaUrsului(Ponoarele)
Poroinamare,Mehedinti,MH,319,44.4917988,22.9570118,Poroinamare,PoroinaMare
Fantanilenegre,Mehedinti,MH,193,44.4874086,22.9146533,Fantanilenegre,FantanileNegre
Stignita,Mehedinti,MH,461,44.4948089,23.0000835,Stignita,Stignita
Sipotu(Poroinamare),Mehedinti,MH,75,44.5037436,22.9091483,Sipotu(Poroinamare),Sipotu(PoroinaMare)
Pristol,Mehedinti,MH,933,44.2258469,22.7092072,Pristol,Pristol
Cozia,Mehedinti,MH,524,44.2156998,22.7116301,Cozia,Cozia
Prunisor,Mehedinti,MH,524,44.6117288,22.9129212,Prunisor,Prunisor
Arvatesti,Mehedinti,MH,33,44.5618576,22.918695,Arvatesti,Arvatesti
Balota,Mehedinti,MH,57,44.6190568,22.8002069,Balota,Balota
Baltanele(Prunisor),Mehedinti,MH,14,44.5789182,23.1474824,Baltanele(Prunisor),Baltanele(Prunisor)
Cervenita,Mehedinti,MH,266,44.6380846,22.9638523,Cervenita,Cervenita
Dragotesti,Mehedinti,MH,36,44.5811617,22.9424049,Dragotesti,Dragotesti
Fantanadomneasca,Mehedinti,MH,253,44.5861446,22.9217223,Fantanadomneasca,FantanaDomneasca
Garnita,Mehedinti,MH,32,44.5880171,22.8523475,Garnita,Garnita
